predecessor,successor,quantity
N002230,N001901,1.0
N001693,N001901,1.0
N001664,N001693,1.2
N000519,N001693,0.001
N000416,N001693,0.001
N002051,N001693,0.001
N001549,N001693,0.001
N000204,N001693,0.001
N000876,N001693,0.001
N000995,N001693,0.002
N001226,N001693,0.001
N003694,N001693,0.001
N001007,N001693,0.001
N000362,N001693,0.008
N002077,N001693,0.001
N002739,N001693,0.001
N001454,N001693,0.001
N002180,N001693,0.001
N001145,N001693,0.002
N003191,N001693,0.004
N003337,N001693,0.002
N002710,N001693,0.001
N000278,N001693,0.002
N000156,N001693,0.002
N001008,N001693,0.001
N001480,N001693,0.001
N001193,N001693,0.001
N003663,N001693,0.001
N001927,N001693,0.002
N002514,N001693,0.019
N002994,N001693,0.001
N002701,N001693,0.002
N003651,N001693,0.002
N000392,N001693,0.001
N000885,N001693,0.001
N000414,N001693,0.001
N003319,N001693,0.006
N002612,N001693,0.017
N000425,N001693,0.027999999999999997
N002950,N001693,0.04
N001647,N001693,0.136
N001905,N001693,0.01
N002361,N001693,0.001
N000862,N001693,0.009000000000000001
N001239,N001693,0.001
N000654,N001693,0.006
N003525,N001693,0.02
N001511,N001693,0.001
N000018,N001693,0.002
N002250,N001693,0.004
N000652,N001693,0.001
N001279,N001693,0.015
N001889,N001693,0.002
N002623,N001693,0.008
N001436,N001693,0.01
N001716,N001693,0.008
N002777,N001693,0.012
N001189,N001693,0.001
N000759,N001693,0.002
N002425,N001693,0.002
N002092,N001693,0.013000000000000001
N000484,N001693,0.009000000000000001
N002388,N001693,0.005
N003404,N001693,0.002
N001852,N001693,0.011000000000000001
N003509,N001693,0.001
N002553,N001693,0.001
N000589,N001693,0.013999999999999999
N002086,N001693,0.002
N001792,N001693,0.07200000000000001
N000985,N001693,0.004
N002704,N001693,0.001
N000162,N001693,0.008
N000968,N001693,0.005
N000962,N001693,0.01
N002300,N001693,0.001
N003542,N001693,0.001
N000582,N001693,0.002
N002696,N001693,0.001
N003743,N001693,0.001
N003106,N001693,0.001
N003253,N001693,0.001
N001340,N001693,0.003
N000669,N001693,0.001
N003058,N001693,0.001
N001665,N001693,0.001
N002430,N001693,0.001
N000924,N001693,0.001
N002909,N001693,0.001
N002791,N001693,0.006
N003155,N001693,0.001
N002401,N001693,0.001
N000403,N001693,0.002
N002334,N001693,0.001
N000946,N001693,0.004
N002464,N001693,0.001
N001030,N001693,0.002
N003714,N001693,0.002
N003030,N001693,0.008
N001674,N001693,0.008
N003362,N001693,0.001
N000116,N001693,0.001
N003280,N001693,0.001
N003641,N001693,0.001
N003135,N001693,0.001
N003821,N001693,0.001
N003675,N001693,0.002
N001246,N001693,0.001
N000686,N001693,0.001
N002641,N001693,0.003
N001541,N001693,0.001
N003111,N001693,0.001
N000611,N001693,0.001
N003673,N001693,0.001
N001073,N001693,0.001
N002690,N001693,0.002
N002497,N001693,0.001
N002672,N001693,0.006999999999999999
N001997,N001693,0.001
N003551,N001693,0.001
N002916,N001693,0.001
N003654,N001693,0.001
N002892,N001693,0.003
N002265,N001693,0.002
N002371,N001693,0.001
N002011,N001693,0.002
N000528,N001693,0.001
N003024,N001693,0.001
N002513,N001693,0.001
N002203,N001693,0.001
N000774,N001693,0.001
N000861,N001693,0.001
N000575,N001693,0.001
N002598,N001693,0.001
N001784,N001693,0.001
N002922,N001693,0.002
N001858,N001693,0.001
N002579,N001693,0.001
N001596,N001693,0.008
N002546,N001693,0.001
N003597,N001693,0.001
N000945,N001693,0.001
N001247,N001693,0.002
N000118,N001693,0.002
N001812,N001693,0.002
N001744,N001693,0.001
N001449,N001693,0.002
N001608,N001693,0.001
N002670,N001693,0.002
N002602,N001693,0.001
N002490,N001693,0.003
N001266,N001693,0.001
N002501,N001693,0.001
N001733,N001693,0.001
N000702,N001693,0.004
N001241,N001693,0.002
N002403,N001693,0.001
N002303,N001693,0.025
N001962,N001693,0.001
N001379,N001693,0.001
N001403,N001693,0.002
N001828,N001693,0.001
N003461,N001693,0.002
N000038,N001693,0.002
N000536,N001693,0.001
N001120,N001693,0.006
N000727,N001693,0.011000000000000001
N000074,N001693,0.001
N000472,N001693,0.001
N001922,N001693,0.001
N002800,N001693,0.006
N002668,N001693,0.001
N002694,N001693,0.001
N000040,N001693,0.009000000000000001
N000061,N001693,0.013999999999999999
N001932,N001693,0.001
N002320,N001693,0.005
N001320,N001693,0.005
N003147,N001693,0.001
N001941,N001693,0.001
N002398,N001693,0.025
N003636,N001693,0.001
N002087,N001693,0.004
N000825,N001693,0.099
N002080,N001693,0.002
N003051,N001693,0.002
N003731,N001693,0.017
N003287,N001693,0.003
N000404,N001693,0.019
N000756,N001693,0.009000000000000001
N002194,N001693,0.004
N000644,N001693,0.002
N000341,N001693,0.006
N002052,N001693,0.001
N001384,N001693,0.001
N003586,N001693,0.001
N000167,N001693,0.002
N003652,N001693,0.002
N002848,N001693,0.001
N001316,N001693,0.005
N002099,N001693,0.001
N003726,N001693,0.002
N002639,N001693,0.002
N000191,N001693,0.001
N002039,N001693,0.001
N001683,N001693,0.002
N002585,N001693,0.001
N001044,N001693,0.055999999999999994
N003223,N001693,0.002
N002269,N001693,0.005
N001075,N001693,0.015
N003219,N001693,0.008
N001450,N001693,0.017
N001158,N001693,0.004
N002958,N001693,0.055999999999999994
N002262,N001693,0.006
N001808,N001693,0.003
N002022,N001693,0.005
N000254,N001693,0.006
N003207,N001693,0.005
N002661,N001693,0.006
N000961,N001693,0.002
N000973,N001693,0.009000000000000001
N003477,N001693,0.009000000000000001
N000177,N001693,0.002
N001719,N001693,0.001
N000929,N001693,0.021
N002433,N001693,0.002
N002627,N001693,0.002
N002019,N001693,0.006999999999999999
N001118,N001693,0.004
N002823,N001693,0.034
N003056,N001693,0.027999999999999997
N003732,N001693,0.003
N002794,N001693,0.002
N000060,N001693,0.018000000000000002
N001705,N001693,0.001
